"","Date","Time","Home","Away","Home_Score","Away_Score","Season","result","G"
"402",2016-11-27,"19:00","Perth Wildcats","Illawarra Hawks",85,89,"2016//17",0,4
"403",2016-11-27,"15:00","Cairns Taipans","NZ Breakers",91,80,"2016//17",1,11
"404",2016-11-28,"19:30","Sydney Kings","Adelaide 36ers",85,91,"2016//17",0,6
"405",2016-12-01,"21:30","Perth Wildcats","Brisbane Bullets",75,90,"2016//17",0,15
"406",2016-12-02,"17:30","NZ Breakers","Illawarra Hawks",91,95,"2016//17",0,4
"407",2016-12-03,"19:40","Adelaide 36ers","Perth Wildcats",92,86,"2016//17",1,6
"408",2016-12-03,"17:30","Brisbane Bullets","Cairns Taipans",84,89,"2016//17",0,5
"409",2016-12-04,"15:00","Melbourne United","NZ Breakers",98,74,"2016//17",1,24
"410",2016-12-05,"19:30","Illawarra Hawks","Sydney Kings",93,99,"2016//17",0,6
"411",2016-12-08,"17:30","NZ Breakers","Brisbane Bullets",82,75,"2016//17",1,7
"412",2016-12-09,"21:30","Perth Wildcats","Melbourne United",92,89,"2016//17",1,3
"413",2016-12-09,"19:30","Cairns Taipans","Sydney Kings",78,86,"2016//17",0,8
"414",2016-12-10,"19:30","Brisbane Bullets","Illawarra Hawks",88,98,"2016//17",0,10
"415",2016-12-10,"17:30","Adelaide 36ers","NZ Breakers",102,92,"2016//17",1,10
"416",2016-12-11,"15:00","Sydney Kings","Melbourne United",81,88,"2016//17",0,7
"417",2016-12-12,"19:30","Cairns Taipans","Adelaide 36ers",83,96,"2016//17",0,13
"418",2016-12-15,"17:30","NZ Breakers","Perth Wildcats",69,57,"2016//17",1,12
"419",2016-12-16,"19:30","Adelaide 36ers","Sydney Kings",82,80,"2016//17",1,2
"420",2016-12-17,"19:30","Brisbane Bullets","Melbourne United",100,90,"2016//17",1,10
"421",2016-12-17,"17:30","Cairns Taipans","Illawarra Hawks",99,82,"2016//17",1,17
"422",2016-12-18,"15:00","Sydney Kings","Adelaide 36ers",96,103,"2016//17",0,7
"423",2016-12-19,"19:30","Brisbane Bullets","Illawarra Hawks",85,91,"2016//17",0,6
"424",2016-12-22,"19:30","Adelaide 36ers","Perth Wildcats",78,74,"2016//17",1,4
"425",2016-12-23,"19:30","Sydney Kings","Illawarra Hawks",75,87,"2016//17",0,12
"426",2016-12-26,"19:30","Melbourne United","Brisbane Bullets",97,59,"2016//17",1,38
"427",2016-12-29,"19:30","Cairns Taipans","Melbourne United",78,79,"2016//17",0,1
"428",2016-12-30,"19:30","Sydney Kings","NZ Breakers",85,80,"2016//17",1,5
"429",2016-12-31,"19:30","Brisbane Bullets","Cairns Taipans",93,76,"2016//17",1,17
"430",2016-12-31,"17:30","Illawarra Hawks","Perth Wildcats",87,95,"2016//17",0,8
"431",2017-01-01,"15:00","Melbourne United","Adelaide 36ers",104,73,"2016//17",1,31
"432",2017-01-05,"19:35","Adelaide 36ers","Illawarra Hawks",117,85,"2016//17",1,32
"433",2017-01-06,"19:30","Cairns Taipans","NZ Breakers",65,63,"2016//17",1,2
"434",2017-01-07,"19:30","Sydney Kings","Perth Wildcats",74,80,"2016//17",0,6
"435",2017-01-07,"17:30","Illawarra Hawks","Melbourne United",106,88,"2016//17",1,18
"436",2017-01-08,"15:00","NZ Breakers","Adelaide 36ers",95,113,"2016//17",0,18
"437",2017-01-09,"19:30","Brisbane Bullets","Perth Wildcats",68,72,"2016//17",0,4
"438",2017-01-12,"19:30","Adelaide 36ers","Melbourne United",100,73,"2016//17",1,27
"439",2017-01-13,"19:30","Illawarra Hawks","Brisbane Bullets",85,80,"2016//17",1,5
"440",2017-01-13,"17:30","NZ Breakers","Sydney Kings",92,74,"2016//17",1,18
"441",2017-01-14,"21:30","Perth Wildcats","Adelaide 36ers",84,95,"2016//17",0,11
"442",2017-01-14,"19:30","Melbourne United","Cairns Taipans",92,85,"2016//17",1,7
"443",2017-01-15,"15:00","Brisbane Bullets","NZ Breakers",82,84,"2016//17",0,2
"444",2017-01-16,"19:30","Cairns Taipans","Perth Wildcats",80,78,"2016//17",1,2
"445",2017-01-19,"19:30","Adelaide 36ers","Brisbane Bullets",101,68,"2016//17",1,33
"446",2017-01-20,"21:30","Perth Wildcats","Cairns Taipans",84,78,"2016//17",1,6
"447",2017-01-20,"19:30","Illawarra Hawks","NZ Breakers",86,95,"2016//17",0,9
"448",2017-01-21,"19:30","Adelaide 36ers","Sydney Kings",87,73,"2016//17",1,14
"449",2017-01-21,"17:30","Brisbane Bullets","Melbourne United",88,71,"2016//17",1,17
"450",2017-01-22,"17:00","NZ Breakers","Perth Wildcats",86,82,"2016//17",1,4
"451",2017-01-22,"15:00","Cairns Taipans","Illawarra Hawks",85,79,"2016//17",1,6
"452",2017-01-26,"17:30","NZ Breakers","Cairns Taipans",81,94,"2016//17",0,13
"453",2017-01-27,"19:30","Brisbane Bullets","Sydney Kings",77,80,"2016//17",0,3
"454",2017-01-28,"21:30","Perth Wildcats","Melbourne United",73,71,"2016//17",1,2
"455",2017-01-28,"19:30","Illawarra Hawks","Adelaide 36ers",95,92,"2016//17",1,3
"456",2017-01-29,"19:00","Cairns Taipans","Brisbane Bullets",97,83,"2016//17",1,14
"457",2017-01-29,"15:00","Sydney Kings","NZ Breakers",84,57,"2016//17",1,27
"458",2017-02-03,"21:30","Perth Wildcats","Brisbane Bullets",94,63,"2016//17",1,31
"459",2017-02-03,"19:30","Illawarra Hawks","Cairns Taipans",90,73,"2016//17",1,17
"460",2017-02-04,"19:30","Sydney Kings","Melbourne United",76,89,"2016//17",0,13
"461",2017-02-04,"17:30","Adelaide 36ers","NZ Breakers",87,88,"2016//17",0,1
"462",2017-02-05,"15:00","Cairns Taipans","Perth Wildcats",85,77,"2016//17",1,8
"463",2017-02-06,"19:30","Melbourne United","Illawarra Hawks",78,72,"2016//17",1,6
"464",2017-02-09,"19:30","Cairns Taipans","Adelaide 36ers",89,85,"2016//17",1,4
"465",2017-02-10,"21:30","Perth Wildcats","Sydney Kings",101,74,"2016//17",1,27
"466",2017-02-10,"17:30","NZ Breakers","Melbourne United",88,70,"2016//17",1,18
"467",2017-02-11,"19:30","Adelaide 36ers","Cairns Taipans",89,98,"2016//17",0,9
"468",2017-02-11,"17:30","Illawarra Hawks","Brisbane Bullets",106,79,"2016//17",1,27
"469",2017-02-12,"15:00","Melbourne United","Perth Wildcats",94,96,"2016//17",0,2
"470",2017-02-16,"19:30","Adelaide 36ers","Illawarra Hawks",93,78,"2016//17",1,15
"471",2017-02-17,"19:30","Cairns Taipans","Perth Wildcats",69,91,"2016//17",0,22
"472",2017-02-19,"15:00","Illawarra Hawks","Adelaide 36ers",100,94,"2016//17",1,6
"473",2017-02-20,"21:30","Perth Wildcats","Cairns Taipans",74,66,"2016//17",1,8
"474",2017-02-23,"19:30","Adelaide 36ers","Illawarra Hawks",98,106,"2016//17",0,8
"475",2017-02-26,"19:00","Perth Wildcats","Illawarra Hawks",89,77,"2016//17",1,12
"476",2017-03-01,"19:30","Illawarra Hawks","Perth Wildcats",77,89,"2016//17",0,12
"477",2017-03-05,"15:00","Perth Wildcats","Illawarra Hawks",95,86,"2016//17",1,9
"478",2017-10-05,"19:30","Adelaide 36ers","Melbourne United",97,99,"2017/18",0,2
"479",2017-10-06,"19:30","Cairns Taipans","Illawarra Hawks",88,87,"2017/18",1,1
"480",2017-10-07,"20:30","Perth Wildcats","Brisbane Bullets",96,86,"2017/18",1,10
"481",2017-10-07,"17:30","Sydney Kings","Adelaide 36ers",96,105,"2017/18",0,9
"482",2017-10-08,"15:00","NZ Breakers","Cairns Taipans",71,82,"2017/18",0,11
"483",2017-10-12,"19:30","Cairns Taipans","Adelaide 36ers",70,96,"2017/18",0,26
"484",2017-10-13,"21:30","Perth Wildcats","Illawarra Hawks",74,64,"2017/18",1,10
"485",2017-10-13,"17:30","NZ Breakers","Sydney Kings",87,85,"2017/18",1,2
"486",2017-10-14,"17:30","Adelaide 36ers","Melbourne United",79,99,"2017/18",0,20
"487",2017-10-15,"15:00","Sydney Kings","Illawarra Hawks",103,87,"2017/18",1,16
"488",2017-10-19,"17:30","NZ Breakers","Sydney Kings",90,73,"2017/18",1,17
"489",2017-10-20,"21:30","Perth Wildcats","Melbourne United",89,84,"2017/18",1,5
"490",2017-10-20,"19:30","Brisbane Bullets","Cairns Taipans",83,78,"2017/18",1,5
"491",2017-10-21,"17:30","Adelaide 36ers","Sydney Kings",114,84,"2017/18",1,30
"492",2017-10-22,"19:00","Cairns Taipans","Perth Wildcats",90,69,"2017/18",1,21
"493",2017-10-22,"17:00","Illawarra Hawks","Brisbane Bullets",105,96,"2017/18",1,9
"494",2017-10-22,"15:00","Melbourne United","NZ Breakers",76,88,"2017/18",0,12
"495",2017-10-26,"21:30","Perth Wildcats","Illawarra Hawks",105,74,"2017/18",1,31
"496",2017-10-26,"19:30","Brisbane Bullets","NZ Breakers",96,101,"2017/18",0,5
"497",2017-10-27,"19:30","Cairns Taipans","Adelaide 36ers",80,84,"2017/18",0,4
"498",2017-10-28,"17:30","Brisbane Bullets","Melbourne United",87,85,"2017/18",1,2
"499",2017-10-29,"15:00","Illawarra Hawks","Sydney Kings",94,99,"2017/18",0,5
"500",2017-11-02,"19:30","Melbourne United","Cairns Taipans",87,65,"2017/18",1,22
"501",2017-11-02,"17:30","NZ Breakers","Adelaide 36ers",92,88,"2017/18",1,4
"502",2017-11-03,"21:30","Perth Wildcats","Sydney Kings",93,69,"2017/18",1,24
"503",2017-11-03,"19:30","Brisbane Bullets","Illawarra Hawks",81,112,"2017/18",0,31
"504",2017-11-04,"19:30","Cairns Taipans","NZ Breakers",70,73,"2017/18",0,3
"505",2017-11-04,"17:30","Melbourne United","Adelaide 36ers",101,84,"2017/18",1,17
"506",2017-11-05,"15:00","Sydney Kings","Illawarra Hawks",83,93,"2017/18",0,10
"507",2017-11-09,"19:30","Cairns Taipans","Melbourne United",92,69,"2017/18",1,23
"508",2017-11-09,"17:30","NZ Breakers","Perth Wildcats",88,84,"2017/18",1,4
"509",2017-11-11,"19:30","Adelaide 36ers","Illawarra Hawks",87,96,"2017/18",0,9
"510",2017-11-11,"17:30","Melbourne United","Sydney Kings",108,90,"2017/18",1,18
"511",2017-11-12,"19:00","Perth Wildcats","NZ Breakers",82,88,"2017/18",0,6
"512",2017-11-12,"15:00","Brisbane Bullets","Cairns Taipans",82,74,"2017/18",1,8
"513",2017-11-16,"19:30","Illawarra Hawks","Sydney Kings",97,93,"2017/18",1,4
"514",2017-11-17,"19:30","Brisbane Bullets","Perth Wildcats",85,90,"2017/18",0,5
"515",2017-11-18,"19:30","Cairns Taipans","Illawarra Hawks",87,66,"2017/18",1,21
"516",2017-11-18,"17:30","Adelaide 36ers","Sydney Kings",108,93,"2017/18",1,15
"517",2017-11-19,"15:00","Melbourne United","Perth Wildcats",59,91,"2017/18",0,32
"518",2017-11-19,"13:00","NZ Breakers","Brisbane Bullets",90,82,"2017/18",1,8
"519",2017-11-30,"19:30","Sydney Kings","Cairns Taipans",81,72,"2017/18",1,9
"520",2017-12-01,"19:30","Adelaide 36ers","Brisbane Bullets",84,83,"2017/18",1,1
"521",2017-12-01,"17:30","NZ Breakers","Perth Wildcats",73,89,"2017/18",0,16
"522",2017-12-02,"17:30","Cairns Taipans","Sydney Kings",80,71,"2017/18",1,9
"523",2017-12-03,"15:00","Brisbane Bullets","NZ Breakers",81,76,"2017/18",1,5
"524",2017-12-04,"19:30","Melbourne United","Illawarra Hawks",91,73,"2017/18",1,18
"525",2017-12-07,"17:30","NZ Breakers","Brisbane Bullets",96,89,"2017/18",1,7
"526",2017-12-08,"21:30","Perth Wildcats","Adelaide 36ers",88,79,"2017/18",1,9
"527",2017-12-09,"19:30","Cairns Taipans","Melbourne United",79,70,"2017/18",1,9
"528",2017-12-09,"17:30","Sydney Kings","Brisbane Bullets",77,85,"2017/18",0,8
"529",2017-12-10,"17:00","Adelaide 36ers","NZ Breakers",95,92,"2017/18",1,3
"530",2017-12-10,"15:00","Illawarra Hawks","Perth Wildcats",91,99,"2017/18",0,8
"531",2017-12-11,"19:30","Melbourne United","Sydney Kings",95,69,"2017/18",1,26
"532",2017-12-14,"19:30","Cairns Taipans","Brisbane Bullets",74,75,"2017/18",0,1
"533",2017-12-15,"17:30","NZ Breakers","Adelaide 36ers",75,90,"2017/18",0,15
"534",2017-12-16,"19:30","Illawarra Hawks","Melbourne United",78,84,"2017/18",0,6
"535",2017-12-16,"17:30","Perth Wildcats","Brisbane Bullets",76,82,"2017/18",0,6
"536",2017-12-17,"15:00","Sydney Kings","Cairns Taipans",88,69,"2017/18",1,19
"537",2017-12-21,"19:30","Sydney Kings","NZ Breakers",95,98,"2017/18",0,3
"538",2017-12-22,"19:30","Melbourne United","Adelaide 36ers",99,91,"2017/18",1,8
"539",2017-12-23,"19:30","Illawarra Hawks","Perth Wildcats",96,84,"2017/18",1,12
"540",2017-12-23,"17:30","Brisbane Bullets","Sydney Kings",95,101,"2017/18",0,6
"541",2017-12-24,"15:00","Adelaide 36ers","Cairns Taipans",75,94,"2017/18",0,19
"542",2017-12-26,"19:30","Melbourne United","Brisbane Bullets",69,68,"2017/18",1,1
"543",2017-12-28,"19:30","Illawarra Hawks","Cairns Taipans",106,102,"2017/18",1,4
"544",2017-12-29,"19:30","Adelaide 36ers","NZ Breakers",88,85,"2017/18",1,3
"545",2017-12-30,"17:30","Sydney Kings","Melbourne United",79,103,"2017/18",0,24
"546",2017-12-31,"19:00","Cairns Taipans","Perth Wildcats",68,83,"2017/18",0,15
"547",2017-12-31,"15:00","Illawarra Hawks","Brisbane Bullets",104,82,"2017/18",1,22
"548",2018-01-04,"19:30","Adelaide 36ers","Perth Wildcats",97,86,"2017/18",1,11
"549",2018-01-05,"19:30","Cairns Taipans","Brisbane Bullets",83,80,"2017/18",1,3
"550",2018-01-06,"19:30","Illawarra Hawks","Melbourne United",77,79,"2017/18",0,2
"551",2018-01-06,"17:30","Sydney Kings","Perth Wildcats",68,76,"2017/18",0,8
"552",2018-01-07,"15:00","Brisbane Bullets","Adelaide 36ers",84,95,"2017/18",0,11
"553",2018-01-07,"13:00","NZ Breakers","Cairns Taipans",82,69,"2017/18",1,13
"554",2018-01-11,"19:30","Adelaide 36ers","Cairns Taipans",100,90,"2017/18",1,10
"555",2018-01-12,"21:30","Perth Wildcats","Melbourne United",80,82,"2017/18",0,2
"556",2018-01-13,"19:30","Illawarra Hawks","NZ Breakers",90,79,"2017/18",1,11
"557",2018-01-13,"17:30","Sydney Kings","Adelaide 36ers",101,104,"2017/18",0,3
"558",2018-01-14,"15:00","Brisbane Bullets","Perth Wildcats",80,81,"2017/18",0,1
"559",2018-01-18,"17:30","NZ Breakers","Melbourne United",98,81,"2017/18",1,17
"560",2018-01-19,"21:30","Perth Wildcats","Sydney Kings",77,84,"2017/18",0,7
"561",2018-01-19,"19:30","Adelaide 36ers","Illawarra Hawks",112,90,"2017/18",1,22
"562",2018-01-20,"19:30","Cairns Taipans","NZ Breakers",81,71,"2017/18",1,10
"563",2018-01-20,"17:30","Brisbane Bullets","Melbourne United",95,103,"2017/18",0,8
"564",2018-01-21,"17:00","Illawarra Hawks","Adelaide 36ers",93,112,"2017/18",0,19
"565",2018-01-21,"15:00","Sydney Kings","Perth Wildcats",84,56,"2017/18",1,28
"566",2018-01-24,"19:30","Melbourne United","Cairns Taipans",79,68,"2017/18",1,11
"567",2018-01-27,"20:30","Perth Wildcats","NZ Breakers",90,73,"2017/18",1,17
"568",2018-01-27,"17:30","Brisbane Bullets","Adelaide 36ers",95,90,"2017/18",1,5
"569",2018-01-28,"17:00","Illawarra Hawks","Cairns Taipans",88,78,"2017/18",1,10
"570",2018-01-28,"15:00","Sydney Kings","Melbourne United",76,93,"2017/18",0,17
"571",2018-02-02,"21:30","Perth Wildcats","Adelaide 36ers",111,90,"2017/18",1,21
"572",2018-02-02,"19:30","Illawarra Hawks","NZ Breakers",73,77,"2017/18",0,4
"573",2018-02-03,"19:30","Cairns Taipans","Sydney Kings",86,93,"2017/18",0,7
"574",2018-02-03,"17:30","Melbourne United","Brisbane Bullets",69,61,"2017/18",1,8
"575",2018-02-04,"15:00","Adelaide 36ers","Perth Wildcats",94,82,"2017/18",1,12
"576",2018-02-04,"13:00","NZ Breakers","Illawarra Hawks",88,84,"2017/18",1,4
"577",2018-02-08,"19:30","Brisbane Bullets","Illawarra Hawks",99,91,"2017/18",1,8
"578",2018-02-09,"21:30","Perth Wildcats","Cairns Taipans",83,85,"2017/18",0,2
"579",2018-02-09,"19:30","Melbourne United","NZ Breakers",89,83,"2017/18",1,6
"580",2018-02-10,"17:30","Sydney Kings","Brisbane Bullets",92,80,"2017/18",1,12
"581",2018-02-11,"15:00","Illawarra Hawks","Adelaide 36ers",87,111,"2017/18",0,24
"582",2018-02-11,"13:00","NZ Breakers","Melbourne United",82,100,"2017/18",0,18
"583",2018-02-15,"19:30","Brisbane Bullets","Sydney Kings",73,90,"2017/18",0,17
"584",2018-02-16,"19:30","Melbourne United","Perth Wildcats",97,85,"2017/18",1,12
"585",2018-02-16,"17:30","NZ Breakers","Illawarra Hawks",82,84,"2017/18",0,2
"586",2018-02-17,"17:30","Adelaide 36ers","Brisbane Bullets",105,82,"2017/18",1,23
"587",2018-02-18,"19:00","Perth Wildcats","Cairns Taipans",89,61,"2017/18",1,28
"588",2018-02-18,"17:00","Sydney Kings","NZ Breakers",101,86,"2017/18",1,15
"589",2018-02-18,"15:00","Melbourne United","Illawarra Hawks",84,94,"2017/18",0,10
"590",2018-03-03,"19:30","Adelaide 36ers","Perth Wildcats",109,74,"2017/18",1,35
"591",2018-03-03,"17:30","Melbourne United","NZ Breakers",88,77,"2017/18",1,11
"592",2018-03-05,"17:30","NZ Breakers","Melbourne United",86,88,"2017/18",0,2
"593",2018-03-09,"21:30","Perth Wildcats","Adelaide 36ers",88,89,"2017/18",0,1
"594",2018-03-16,"19:30","Melbourne United","Adelaide 36ers",107,96,"2017/18",1,11
"595",2018-03-18,"15:00","Adelaide 36ers","Melbourne United",110,95,"2017/18",1,15
"596",2018-03-23,"19:30","Melbourne United","Adelaide 36ers",101,98,"2017/18",1,3
"597",2018-03-25,"15:00","Adelaide 36ers","Melbourne United",90,81,"2017/18",1,9
"598",2018-03-31,"18:00","Melbourne United","Adelaide 36ers",100,82,"2017/18",1,18
